Abstimmungs_Datum,Nr_Politische_Ebene,Name_Politische_Ebene,Abstimmungs_Text,Nr_Resultat_Gebiet,Name_Resultat_Gebiet,Nr_Wahlkreis_StZH,Name_Wahlkreis_StZH,Stimmberechtigt,Ja_Absolut,Nein_Absolut,Stimmbeteiligung_Prozent,Ja_Prozent,Nein_Prozent,Staende_Ja,Staende_Nein
11/30/2025,1,Eidgenossenschaft,Volksinitiative «Für eine engagierte Schweiz (Service-citoyen-Initiative)»,1,Eidgenossenschaft,,,5648860,379638,2014886,42.9,15.9,84.1,0    ,23    
11/30/2025,1,Eidgenossenschaft,Volksinitiative «Für eine engagierte Schweiz (Service-citoyen-Initiative)»,2,Kanton Zürich,,,978202,84719,366961,46.6,18.8,81.2,,
11/30/2025,1,Eidgenossenschaft,Volksinitiative «Für eine engagierte Schweiz (Service-citoyen-Initiative)»,3,Stadt Zürich,2,Kreis 1+2,23372,2671,9162,51.3,22.6,77.4,,
11/30/2025,1,Eidgenossenschaft,Volksinitiative «Für eine engagierte Schweiz (Service-citoyen-Initiative)»,3,Stadt Zürich,3,Kreis 3,27707,3114,10750,50.8,22.5,77.5,,
11/30/2025,1,Eidgenossenschaft,Volksinitiative «Für eine engagierte Schweiz (Service-citoyen-Initiative)»,3,Stadt Zürich,4,Kreis 4+5,24384,2960,9174,50.5,24.4,75.6,,
11/30/2025,1,Eidgenossenschaft,Volksinitiative «Für eine engagierte Schweiz (Service-citoyen-Initiative)»,3,Stadt Zürich,5,Kreis 6,19832,2711,8726,58.6,23.7,76.3,,
11/30/2025,1,Eidgenossenschaft,Volksinitiative «Für eine engagierte Schweiz (Service-citoyen-Initiative)»,3,Stadt Zürich,6,Kreis 7+8,31842,3932,14343,58.1,21.5,78.5,,
11/30/2025,1,Eidgenossenschaft,Volksinitiative «Für eine engagierte Schweiz (Service-citoyen-Initiative)»,3,Stadt Zürich,7,Kreis 9,32043,3237,11486,46.6,22,78,,
11/30/2025,1,Eidgenossenschaft,Volksinitiative «Für eine engagierte Schweiz (Service-citoyen-Initiative)»,3,Stadt Zürich,8,Kreis 10,24455,2952,10802,56.9,21.5,78.5,,
11/30/2025,1,Eidgenossenschaft,Volksinitiative «Für eine engagierte Schweiz (Service-citoyen-Initiative)»,3,Stadt Zürich,9,Kreis 11,38058,3647,12598,43.3,22.4,77.6,,
