"titel","laufjahr","laufnummer","beschreibung","thema","seiten","url"
"Der Zürcher Liegenschaftenmarkt 1912 bis 1923",1924,1,"Überblick über den Zürcher Liegenschaftenmarkt, die Freihandkäufe und die Eigentumsverhältnisse 1912 bis 1923","Bauen & Wohnen, Grundstückpreise, Gebäude, Liegenschaftenhandel, Grundeigentum, Stadtgebiet",11,"https://statistik.stadt-zuerich.ch/modules/StatNat/1924/1924_ZSN_Der-Zuercher-Liegenschaftenmarkt-1912-bis-1923.pdf"
"Die Spargelder in Zürich",1924,1,"Sowohl der Stand, als auch die Bewegung der Spargelder werden in diesem Artikel thematisiert. Konkret werden die Jahre 1912 bis 1923 in Betracht gezogen. Hierbei stütz man sich auf die Statistiken der folgenden sechs Institutionen: Zürcher Kantonalbank, Schweizerische Genossenschaftsbank, Schweizerische Volksbank, Sparkasse der Stadt Zürich, Sparkasse Limmattal und Zinstragender Sparhafen. Auffallend ist die Zunahme der Sparhefte; mehr Personen sind an der Spartätigkeit beteiligt als vor dem Krieg. Gleichzeitig weist das Sparguthaben seit 1912 einen ununterbrochenen Anstieg in der Stadt Zürich auf. Die Bewegung der Spargelder wird primär anhand von Ein- und Rückzahlungen beobachtet. Hier ist zu vermerken, dass das Verhältnis zwischen dem Realwert der Ein- und Rückzahlungen über die Jahre hinweg parallel verlaufen ist. Ab 1921 ist dann ein starker Aufschwung der Realwerte von Ein- und Rückzahlungen zu beobachten. Mögliche Gründe für diese Expansion des Realwerts sind einerseits die Verbesserung der Einkommensverhältnisse, anderseits die Geldmarktlage zu dieser Zeit.","Wirtschaft, Spargeld, Finanzen",9,"https://statistik.stadt-zuerich.ch/modules/StatNat/1924/1924_ZSN_Die-Spargelder-in-Zuerich.pdf"
"Der Zürcher Wohnungsmarkt Ende 1924",1924,1,"Überblick über den Zürcher Wohnungsmarkt mit den leerstehenden sowie neu erstellten Wohnungen im Jahre 1924","Bauen & Wohnen, Bautätigkeit, Leerwohnungen, Wohnungen",10,"https://statistik.stadt-zuerich.ch/modules/StatNat/1924/1924_ZSN_Der-Zuercher-Wohnungsmarkt-Ende-1924.pdf"
"Zürcher Index der Bekleidungskosten",1924,1,"Ergebnisse der Erhebungen über die Bekleidungskosten der Zürcher Arbeiterfamilien 1920 bis 1924","Wirtschaft, Preise, Indexreihen, Konsumentenpreise, Familie",13,"https://statistik.stadt-zuerich.ch/modules/StatNat/1924/1924_ZSN_Zuercher-Index-der-Bekleidungskosten.pdf"
"Entwicklung der Bevölkerung im Jahre 1924",1924,1,"Einerseits bekommt der Leser einen spannenden Einblick in den Bevölkerungsstand nach Herkunft und Geschlecht der Stadtzürcherischen Bevölkerung. Anderseits werden die Gründe für die äusserst wechselvolle Bevölkerungsentwicklung vorgestellt. Der Text weist auf die stetige Rückbildung der natürlichen Bevölkerungsvermehrung in der Stadt Zürich hin, dessen Entstehung auf den Kriegsausbruch zurückzuführen ist, und unterstreicht die zunehmende Bedeutung von Zu- und Abgänge durch Wanderung als Indikator für die Bevölkerungsentwicklung. Seit der Kriegszeit sind die Geburtenraten in der Stadt Zürich stetig gesunken, um im Jahr 1924 auf einem Tiefpunkt anzulangen. Gegenüber dem Höchststand, verzichtet das Jahr 1924 einen Geburtenausfall von beinahe 50 Prozent. Gleichzeitig sind sowohl die Zahlen der Zuwanderungen, als auch der Abwanderungen – im Vergleich zu den Vorjahren – markant gestiegen. Dieser Wanderungsanstieg ist hauptsächlich auf den regen Wanderungsverkehr der Bauarbeiter zurückzuführen.","Bevölkerung, Bevölkerungsentwicklung, Eheschliessung, Familie, Geburten, Konsumentenpreise, Sterbefälle",32,"https://statistik.stadt-zuerich.ch/modules/StatNat/1924/1924_ZSN_Entwicklung-der-Bevoelkerung-im-Jahre-1924.pdf"
"Vierteljahres-Überblick",1924,1,"Vierteljahresberichte mit den wichtigsten Kennzahlen zur Bevölkerung, dem Wohnungsmarkt und der Preise der einzelnen Quartale im Überblick 1924","Bevölkerung, Bevölkerungsentwicklung, Eheschliessung, Familie, Geburten, Konsumentenpreise, Sterbefälle, Bauen & Wohnen, Bevölkerungsbilanz, Arbeitsmarkt, Verkehr",109,"https://statistik.stadt-zuerich.ch/modules/StatNat/1924/1924_ZSN_Vierteljahres-Ueberblick.pdf"
"Der neue Zürcher Index",1925,2,"Neue Umrechnung des Lebenskostenindex nach den eidgenössischen Richtlinien 1925","Indexreihen, Konsumentenpreise, Preise",5,"https://statistik.stadt-zuerich.ch/modules/StatNat/1925/1925_ZSN_Der-neue-Zuercher-Index.pdf"
"Das städtische Personal 1911 bis 1924",1925,2,"Gesamtentwicklung des städtischen Personals 1911 bis 1924","Arbeitsmarkt, Beschäftigte, Stadt Zürich, Personal",8,"https://statistik.stadt-zuerich.ch/modules/StatNat/1925/1925_ZSN_Das-staedtische-Personal-1911-bis-1924.pdf"
"Das Automobil in Stadt und Kanton Zürich 1905 bis 1925",1925,2,"Vergleich und Entwicklung des Automobils und Motorrads in Stadt und Kanton Zürich sowie im  Ausland 1905 bis 1925","Auto, Unfälle, Verkehr, Motorrad",9,"https://statistik.stadt-zuerich.ch/modules/StatNat/1925/1925_ZSN_Das-Automobil-in-Stadt-und-Kanton-Zuerich-1905-bis-1925.pdf"
"Die Schweiz im internationalen Luftverkehr",1925,2,"Der Luftverkehr der Schweiz im internationalen Vergleich 1922 bis 1925","Verkehr, Luftverkehr",5,"https://statistik.stadt-zuerich.ch/modules/StatNat/1925/1925_ZSN_Die-Schweiz-im-internationalen-Luftverkehr.pdf"
"Der Zürcher Mietindex 1925",1925,2,"Die Mietpreisentwicklung in alten und neuen Wohnungen in der Stadt Zürich 1925","Bauen & Wohnen, Mieten, Wohnen",1,"https://statistik.stadt-zuerich.ch/modules/StatNat/1925/1925_ZSN_Der-Zuercher-Mietindex-1925.pdf"
"Zürcher Spiel- und Sportplätze",1925,2,"Überblick über die zur Verfügung stehenden Anlagen für sportliche Betätigung in der Stadt Zürich 1925","Sport, Sportstätten",9,"https://statistik.stadt-zuerich.ch/modules/StatNat/1925/1925_ZSN_Zuercher-Spiel--und-Sportplaetze-1925.pdf"
"Fünfzig Jahre Zürcher Ferienkolonien",1925,2,"Überblick über die Zürcher Ferienkolonien zum Fünfzig Jahre Jubiläum 1876 bis 1925","Kinder, Ferienkolonien",7,"https://statistik.stadt-zuerich.ch/modules/StatNat/1925/1925_ZSN_Fuenfzig-Jahre-Zuercher-Ferienkolonien.pdf"
"Der Zürcher Wohnungsmarkt Ende 1925",1925,2,"Überblick über den Zürcher Wohnungsmarkt mit den leerstehenden sowie neu erstellten Wohnungen im Jahre 1925","Bauen & Wohnen, Bautätigkeit, Leerwohnungen, Wohnungen",10,"https://statistik.stadt-zuerich.ch/modules/StatNat/1925/1925_ZSN_Der-Zuercher-Wohnungsmarkt-Ende-1925.pdf"
"Leerstehende Geschäfslokale Ende 1925",1925,2,"Überblick über die leerstehenden Geschäfslokale in der Stadt Zürich1925","Bautätigkeit, Gebäude, Leerflächen",2,"https://statistik.stadt-zuerich.ch/modules/StatNat/1925/1925_ZSN_Leerstehende-Geschaeftslokale-Ende-1925.pdf"
"Zürcher Lebenskosten-Index 1912 bis 1925",1925,2,"Entwicklung des Zürcher Lebenskosten-Index und der Vergleich mit Bern 1912 bis 1925","Indexreihen, Konsumentenpreise, Preise",6,"https://statistik.stadt-zuerich.ch/modules/StatNat/1925/1925_ZSN_Zuercher-Lebenskostenindex-1912-bis-1925.pdf"
"Wohnungsstatistische Irrtümer",1925,2,"Erklärung über die Irrtümer über den Wohnungsmangel/ Wohnungsnot 1925","Wohnen, Wohnungen, Bautätigkeit, Gebäude, Wohnungen",5,"https://statistik.stadt-zuerich.ch/modules/StatNat/1925/1925_ZSN_Wohnungsstatistische-Irrtuemer.pdf"
"Zürichs Bevölkerungsentwicklung 1925",1925,2,"Ehen, Geburten, Tod und die Wanderungsbewegung in Zürich 1925","Geburten, Bevölkerungsbilanz, Bevölkerungsentwicklung, Eheschliessung, Sterbefälle, Wanderungsbewegung",6,"https://statistik.stadt-zuerich.ch/modules/StatNat/1925/1925_ZSN_Zuerichs-Bevoelkerungsentwicklung-1925.pdf"
"Zürichs Postscheckverkehr 1906 bis 1925",1925,2,"Überblick über den Zürcher Postcheck- und Giroverkehr 1906 bis 1925","Postscheckverkehr, Giroverkehr",4,"https://statistik.stadt-zuerich.ch/modules/StatNat/1925/1925_ZSN_Zuerichs-Postscheckverkehr-1906-bis-1925.pdf"
"Güterverkehr mit Flugzeugen",1925,2,"Überblick über den internationalen Luftfrachtverkehr auf dem Zürcher Flugplatz 1925","Wirtschaft, Flughafen, Flugzeuge",25,"https://statistik.stadt-zuerich.ch/modules/StatNat/1925/1925_ZSN_Gueterverkehr-mit-Flugzeugen.pdf"
"Vierteljahres-Überblick",1925,2,"Vierteljahresberichte mit den wichtigsten Kennzahlen zur Bevölkerung, dem Wohnungsmarkt und der Preise der einzelnen Quartale im Überblick 1925","Bevölkerung, Bevölkerungsentwicklung, Eheschliessung, Familie, Geburten, Konsumentenpreise, Sterbefälle, Bauen & Wohnen, Bevölkerungsbilanz, Arbeitsmarkt, Verkehr",99,"https://statistik.stadt-zuerich.ch/modules/StatNat/1925/1925_ZSN_Vierteljahres-Ueberblick.pdf"
"Ausbau der Arbeitsmarktstatistik",1926,3,"Überblick über den Arbeitsmarkt, Verlauf der Arbeitslosen 1925 bis1926","Arbeitslose, Arbeitsmarkt",9,"https://statistik.stadt-zuerich.ch/modules/StatNat/1926/1926_ZSN_Ausbau-der-Arbeitsmarktstatistik.pdf"
"Landwirtschaftsstatistik",1926,3,"Entwicklung der Tierbesitzer und der Pflanzungen von Tierbesitzern 1901 bis 1926","Nutzflächen, Tierbesitzer",5,"https://statistik.stadt-zuerich.ch/modules/StatNat/1926/1926_ZSN_Landwirtschaftsstatistik.pdf"
"Statistische Freibeuter",1926,3,"Aufsatz über die Freibeuter, welche die Statistik missbrauchen 1926","Freibeuter",4,"https://statistik.stadt-zuerich.ch/modules/StatNat/1926/1926_ZSN_Statistische-Freibeuter.pdf"
"Wohnbautätigkeit in Zürich 1924 bis 1927",1926,3,"Entwicklung der Wohnbautätigkeit 1924 bis 1927","Wohnbautätigkeit, Bautätigkeit, Gebäude, Wohnungen",4,"https://statistik.stadt-zuerich.ch/modules/StatNat/1926/1926_ZSN_Wohnbautaetigkeit-in-Zuerich-1924-bis-1927.pdf"
"Einbürgerungen in Zürich 1911 bis 1925",1926,3,"Entwicklung der Einbürgerungen, Vergleich der Konfessionen der Eingebürgerten 1911 bis 1925","Einbürgerung, Ausländische Bevölkerung, Konfession, Bevölkerungsbewegung",14,"https://statistik.stadt-zuerich.ch/modules/StatNat/1926/1926_ZSN_Einbuergerungen-in-Zuerich-1911-bis-1925.pdf"
"Krankenpflege-Versicherte in Zürich 1925",1926,3,"Überblick über die Krankenkassenmitglieder bzgl. der Versicherungspflicht 1925","Versicherungspflicht, Krankenkasse",2,"https://statistik.stadt-zuerich.ch/modules/StatNat/1926/1926_ZSN_Krankenpflege-Versicherte-in-Zuerich-1925.pdf"
"Zürcher Wohnungsmarkt 1926/27",1926,3,"Überblick über den Zürcher Wohnungsmarkt mit den leerstehenden, neu erstellten Wohnungen und ein Ausblick in den Jahren 1926 bis 1927","Bauen & Wohnen, Grundstückpreise, Gebäude, Liegenschaftenhandel, Wohnungen",12,"https://statistik.stadt-zuerich.ch/modules/StatNat/1926/1926_ZSN_Zuercher-Wohnungsmarkt-1926-27.pdf"
"Leehrstehende Geschäftslokale Ende 1926",1926,3,"Überblick über die leerstehenden Geschäfslokale in der Stadt Zürich 1926","Bautätigkeit, Gebäude, Geschäftslokale",5,"https://statistik.stadt-zuerich.ch/modules/StatNat/1926/1926_ZSN_Leerstehende-Geschaeftslokale-Ende-1926.pdf"
"Mietpreise in Zürich 1926",1926,3,"Entwicklung der Mietpreise in Zürich als Grundlage für die Mietindexberechnungen 1926","Mieten, Mietwohnungen",4,"https://statistik.stadt-zuerich.ch/modules/StatNat/1926/1926_ZSN_Mietpreise-in-Zuerich-1926.pdf"
"Entwicklung der Kleiderpreise 1920 bis 1926/27",1926,3,"Entwicklung der Kleiderpreise, Vergleich mit Nahrung, Brennstoffe und Miete in der Stadt Zürich 1920 bis 1926/27","Indexreihen, Konsumentenpreise, Preise, Kleiderpreise",4,"https://statistik.stadt-zuerich.ch/modules/StatNat/1926/1926_ZSN_Entwicklung-der-Kleiderpreise-1920-bis-1926-27.pdf"
"Auf Abzahlung",1926,3,"Aufsatz über die neu geschaffene Statistik der Abzahlungsverkäufe der Stadt Zürich 1912 bis 1926","Eigentumsvorbehalte, Abzahlungsgeschäfte, Abzahlung",13,"https://statistik.stadt-zuerich.ch/modules/StatNat/1926/1926_ZSN_Auf-Abzahlung.pdf"
"Die Nichtwähler in Zürich 1926",1926,3,"Erstmalige Feststellung der Nichtwähler mit Konfession, Heimat, Beruf, Alter, Stadtkreis in der Stadt Zürich 1926","Wahlen, Kantonratswahlen, Nichtwähler",11,"https://statistik.stadt-zuerich.ch/modules/StatNat/1926/1926_ZSN_Die-Nichtwaehler-in-Zuerich-1926.pdf"
"Vom Altern der Zürcher Bevölkerung",1926,3,"Die Veränderung der Altersstruktur der Zürcher Bevölkerung 1900 bis 1926","Alter, Altersklassen, Bevölkerungsstand, Bevölkerungsgliederung",6,"https://statistik.stadt-zuerich.ch/modules/StatNat/1926/1926_ZSN_Vom-Altern-der-Zuercher-Bevoelkerung.pdf"
