"objectid","id","sensor_eui","zeitpunkt","temperature","humidity","latitude","longitude","noise","sit","geometry"
"59","133","0080E115003BC1DF","20220901051255","14.90","89.84","47.39255110","8.49118090","45","0","POINT (2679465.5 1249613.2)"
"60","134","0080E115003BC1DF","20220901044255","14.90","89.84","47.39255110","8.49118090","45","0","POINT (2679465.5 1249613.2)"
"61","135","0080E115003BC1DF","20220901041255","14.90","89.84","47.39255110","8.49118090","45","0","POINT (2679465.5 1249613.2)"
"62","136","0080E115003BC1DF","20220901034255","14.90","89.84","47.39255110","8.49118090","45","0","POINT (2679465.5 1249613.2)"
"321","29","0080E115003BC1DF","20220901010242","16.60","84.21","47.39245640","8.49122110","45","0","POINT (2679468.8 1249602.8)"
"322","30","0080E115003BC1DF","20220901003242","16.60","84.21","47.39245640","8.49122110","45","0","POINT (2679468.8 1249602.8)"
"323","31","0080E115003BC1DF","20220901000242","16.60","84.21","47.39245640","8.49122110","45","0","POINT (2679468.8 1249602.8)"
"324","32","0080E115003BC1DF","20220831233242","16.60","84.21","47.39245640","8.49122110","45","0","POINT (2679468.8 1249602.8)"
"913","621","0080E115003BC812","20221001015909","8.50","98.29","47.39244790","8.49130560","45","0","POINT (2679475 1249601.9)"
"914","622","0080E115003BC812","20221001012909","8.50","98.29","47.39244790","8.49130560","45","0","POINT (2679475 1249601.9)"
"915","623","0080E115003BC812","20221001005909","8.50","98.29","47.39244790","8.49130560","45","0","POINT (2679475 1249601.9)"
"916","624","0080E115003BC812","20221001002909","8.50","98.29","47.39244790","8.49130560","45","0","POINT (2679475 1249601.9)"
"2468","2541","0080E115003BCF64","20220903190639","21.63","68.65","47.39244220","8.49122080","45","0","POINT (2679468.8 1249601.1)"
"2469","2542","0080E115003BCF64","20220903183639","21.63","68.65","47.39244220","8.49122080","45","0","POINT (2679468.8 1249601.1)"
"2470","2543","0080E115003BCF64","20220903180639","21.63","68.65","47.39244220","8.49122080","45","0","POINT (2679468.8 1249601.1)"
"2471","2544","0080E115003BCF64","20220903173639","21.63","68.65","47.39244220","8.49122080","45","0","POINT (2679468.8 1249601.1)"
"2978","2689","0080E115003BC812","20221003015107","13.02","101.81","47.39242150","8.49129410","45","0","POINT (2679474.2 1249598.9)"
"2979","2690","0080E115003BC812","20221003012107","13.02","101.81","47.39242150","8.49129410","45","0","POINT (2679474.2 1249598.9)"
"2980","2691","0080E115003BC812","20221003005107","13.02","101.81","47.39242150","8.49129410","45","0","POINT (2679474.2 1249598.9)"
"2981","2692","0080E115003BC812","20221003002107","13.02","101.81","47.39242150","8.49129410","45","0","POINT (2679474.2 1249598.9)"
"3114","2825","0080E115003BC1DF","20221003082631","12.04","101.85","47.39243710","8.49097440","45","0","POINT (2679450 1249600.4)"
"3115","2826","0080E115003BC1DF","20221003075631","12.04","101.85","47.39243710","8.49097440","45","0","POINT (2679450 1249600.4)"
"3116","2827","0080E115003BC1DF","20221003072631","12.04","101.85","47.39243710","8.49097440","45","0","POINT (2679450 1249600.4)"
"3117","2828","0080E115003BC1DF","20221003065631","12.04","101.85","47.39243710","8.49097440","45","0","POINT (2679450 1249600.4)"
"4241","4241","0080E115003BC2AD","20220905184653","30.85","38.01","47.39263100","8.49145120","47","89","POINT (2679485.8 1249622.4)"
"4242","4242","0080E115003BC2AD","20220905181653","30.85","38.01","47.39263100","8.49145120","47","54","POINT (2679485.8 1249622.4)"
"4243","4243","0080E115003BC2AD","20220905174653","30.85","38.01","47.39263100","8.49145120","46","17","POINT (2679485.8 1249622.4)"
"4244","4244","0080E115003BC2AD","20220905171653","30.85","38.01","47.39263100","8.49145120","47","96","POINT (2679485.8 1249622.4)"
"4849","5149","0080E11500180306","20220907191520","24.11","48.84","47.39250610","8.49135510","45","0","POINT (2679478.8 1249608.4)"
"4850","5150","0080E11500180306","20220907184520","24.11","48.84","47.39250610","8.49135510","45","45","POINT (2679478.8 1249608.4)"
"4851","5151","0080E11500180306","20220907181520","24.11","48.84","47.39250610","8.49135510","45","56","POINT (2679478.8 1249608.4)"
"4852","5152","0080E11500180306","20220907174520","24.11","48.84","47.39250610","8.49135510","45","22","POINT (2679478.8 1249608.4)"
"5114","4833","0080E11500180306","20220907044006","17.47","96.64","47.39251810","8.49142390","45","0","POINT (2679484 1249609.8)"
"5115","4834","0080E11500180306","20220907041006","17.47","96.64","47.39251810","8.49142390","45","0","POINT (2679484 1249609.8)"
"5116","4835","0080E11500180306","20220907034006","17.47","96.64","47.39251810","8.49142390","45","0","POINT (2679484 1249609.8)"
"5117","4836","0080E11500180306","20220907031006","17.47","96.64","47.39251810","8.49142390","45","0","POINT (2679484 1249609.8)"
"5353","5361","0080E1150017F416","20220808164407","28.98","32.70","47.39248120","8.49096400","45","42","POINT (2679449.2 1249605.2)"
"5354","5362","0080E1150017F416","20220808161407","28.98","32.70","47.39248120","8.49096400","47","72","POINT (2679449.2 1249605.2)"
"5355","5363","0080E1150017F416","20220808154407","28.98","32.70","47.39248120","8.49096400","46","59","POINT (2679449.2 1249605.2)"
"5356","5364","0080E1150017F416","20220808151407","28.98","32.70","47.39248120","8.49096400","46","40","POINT (2679449.2 1249605.2)"
"5441","5449","0080E1150017F416","20220808230003","21.78","53.22","47.39244460","8.49105020","45","16","POINT (2679455.8 1249601.2)"
"5442","5450","0080E1150017F416","20220808223003","21.78","53.22","47.39244460","8.49105020","45","2","POINT (2679455.8 1249601.2)"
"5443","5451","0080E1150017F416","20220808220003","21.78","53.22","47.39244460","8.49105020","45","0","POINT (2679455.8 1249601.2)"
"5444","5452","0080E1150017F416","20220808213003","21.78","53.22","47.39244460","8.49105020","45","0","POINT (2679455.8 1249601.2)"
"5628","5709","0080E11500180306","20220908115947","21.13","60.00","47.39251900","8.49101850","45","0","POINT (2679453.2 1249609.5)"
"5629","5710","0080E11500180306","20220908112947","21.13","60.00","47.39251900","8.49101850","45","0","POINT (2679453.2 1249609.5)"
"5630","5711","0080E11500180306","20220908105947","21.13","60.00","47.39251900","8.49101850","45","0","POINT (2679453.2 1249609.5)"
"5631","5712","0080E11500180306","20220908102947","21.13","60.00","47.39251900","8.49101850","45","0","POINT (2679453.2 1249609.5)"
"5822","6121","0080E1150017F416","20220809113404","25.84","39.31","47.39248120","8.49110380","46","31","POINT (2679459.8 1249605.4)"
"5823","6122","0080E1150017F416","20220809110404","25.84","39.31","47.39248120","8.49110380","45","44","POINT (2679459.8 1249605.4)"
"5824","6123","0080E1150017F416","20220809103404","25.84","39.31","47.39248120","8.49110380","46","77","POINT (2679459.8 1249605.4)"
"5825","6124","0080E1150017F416","20220809100404","25.84","39.31","47.39248120","8.49110380","45","64","POINT (2679459.8 1249605.4)"
"5914","6213","0080E115003BB3B8","20220809175906","27.72","33.23","47.39254900","8.49108320","60","93","POINT (2679458.2 1249612.9)"
"5915","6214","0080E115003BB3B8","20220809172906","27.72","33.23","47.39254900","8.49108320","47","27","POINT (2679458.2 1249612.9)"
"5916","6215","0080E115003BB3B8","20220809165906","27.72","33.23","47.39254900","8.49108320","45","0","POINT (2679458.2 1249612.9)"
"5917","6216","0080E115003BB3B8","20220809162906","27.72","33.23","47.39254900","8.49108320","45","0","POINT (2679458.2 1249612.9)"
"5950","6249","0080E1150017F416","20220809195429","26.75","32.99","47.39245630","8.49108820","45","40","POINT (2679458.8 1249602.6)"
"5951","6250","0080E1150017F416","20220809192429","26.75","32.99","47.39245630","8.49108820","45","41","POINT (2679458.8 1249602.6)"
"5952","6251","0080E1150017F416","20220809185429","26.75","32.99","47.39245630","8.49108820","45","26","POINT (2679458.8 1249602.6)"
"5953","6252","0080E1150017F416","20220809182429","26.75","32.99","47.39245630","8.49108820","45","30","POINT (2679458.8 1249602.6)"
"5974","6273","0080E115003BB3B8","20220809200404","26.57","33.87","47.39243380","8.49123830","45","0","POINT (2679470 1249600.2)"
"5975","6274","0080E115003BB3B8","20220809193404","26.57","33.87","47.39243380","8.49123830","45","17","POINT (2679470 1249600.2)"
"5976","6275","0080E115003BB3B8","20220809190404","26.57","33.87","47.39243380","8.49123830","45","0","POINT (2679470 1249600.2)"
"5977","6276","0080E115003BB3B8","20220809183404","26.57","33.87","47.39243380","8.49123830","45","0","POINT (2679470 1249600.2)"
"6118","5837","0080E11500180306","20220908181520","21.61","52.22","47.39267570","8.49161900","45","6","POINT (2679498.5 1249627.5)"
"6119","5838","0080E11500180306","20220908174520","21.61","52.22","47.39267570","8.49161900","45","3","POINT (2679498.5 1249627.5)"
"6120","5839","0080E11500180306","20220908171520","21.61","52.22","47.39267570","8.49161900","45","3","POINT (2679498.5 1249627.5)"
"6121","5840","0080E11500180306","20220908164520","21.61","52.22","47.39267570","8.49161900","45","0","POINT (2679498.5 1249627.5)"
"6258","5977","0080E1150017F416","20220809010545","19.74","62.03","47.39243540","8.49100210","45","4","POINT (2679452.2 1249600.1)"
"6259","5978","0080E1150017F416","20220809003545","19.74","62.03","47.39243540","8.49100210","45","0","POINT (2679452.2 1249600.1)"
"6260","5979","0080E1150017F416","20220809000545","19.74","62.03","47.39243540","8.49100210","45","0","POINT (2679452.2 1249600.1)"
"6261","5980","0080E1150017F416","20220808233545","19.74","62.03","47.39243540","8.49100210","45","0","POINT (2679452.2 1249600.1)"
"6290","6009","0080E1150017F416","20220809031138","17.49","69.57","47.39242920","8.49097370","45","0","POINT (2679450 1249599.4)"
"6291","6010","0080E1150017F416","20220809024138","17.49","69.57","47.39242920","8.49097370","45","0","POINT (2679450 1249599.4)"
"6292","6011","0080E1150017F416","20220809021138","17.49","69.57","47.39242920","8.49097370","45","0","POINT (2679450 1249599.4)"
"6293","6012","0080E1150017F416","20220809014138","17.49","69.57","47.39242920","8.49097370","45","0","POINT (2679450 1249599.4)"
