Datum,Standort,Parameter,Intervall,Einheit,Wert,Status
2026-01-01T00:00+0100,Zch_Heubeeribüel,NO,d1,µg/m3,2.33,provisorisch
2026-01-01T00:00+0100,Zch_Heubeeribüel,NO2,d1,µg/m3,17.5,provisorisch
2026-01-01T00:00+0100,Zch_Heubeeribüel,NOx,d1,ppb,11.02,provisorisch
2026-01-01T00:00+0100,Zch_Heubeeribüel,O3,d1,µg/m3,37.24,provisorisch
2026-01-01T00:00+0100,Zch_Heubeeribüel,O3_max_h1,d1,µg/m3,56.38,provisorisch
2026-01-01T00:00+0100,Zch_Heubeeribüel,O3_nb_h1>120,d1,1,0,provisorisch
2026-01-01T00:00+0100,Zch_Heubeeribüel,PM10,d1,µg/m3,25.83,provisorisch
2026-01-01T00:00+0100,Zch_Heubeeribüel,PM2.5,d1,µg/m3,24.71,provisorisch
2026-01-01T00:00+0100,Zch_Rosengartenstrasse,NO,d1,µg/m3,20.46,provisorisch
2026-01-01T00:00+0100,Zch_Rosengartenstrasse,NO2,d1,µg/m3,34.61,provisorisch
2026-01-01T00:00+0100,Zch_Rosengartenstrasse,NOx,d1,ppb,34.51,provisorisch
2026-01-01T00:00+0100,Zch_Rosengartenstrasse,O3,d1,µg/m3,22.25,provisorisch
2026-01-01T00:00+0100,Zch_Rosengartenstrasse,O3_max_h1,d1,µg/m3,50.22,provisorisch
2026-01-01T00:00+0100,Zch_Rosengartenstrasse,O3_nb_h1>120,d1,1,0,provisorisch
2026-01-01T00:00+0100,Zch_Rosengartenstrasse,PM10,d1,µg/m3,62.4,provisorisch
2026-01-01T00:00+0100,Zch_Rosengartenstrasse,PM2.5,d1,µg/m3,52.06,provisorisch
2026-01-01T00:00+0100,Zch_Rosengartenstrasse,PNc,d1,1/cm3,17054.91,provisorisch
2026-01-01T00:00+0100,Zch_Schimmelstrasse,NO,d1,µg/m3,25.32,provisorisch
2026-01-01T00:00+0100,Zch_Schimmelstrasse,NO2,d1,µg/m3,39.24,provisorisch
2026-01-01T00:00+0100,Zch_Schimmelstrasse,NOx,d1,ppb,40.82,provisorisch
2026-01-01T00:00+0100,Zch_Schimmelstrasse,O3,d1,µg/m3,17.67,provisorisch
2026-01-01T00:00+0100,Zch_Schimmelstrasse,O3_max_h1,d1,µg/m3,47.14,provisorisch
2026-01-01T00:00+0100,Zch_Schimmelstrasse,O3_nb_h1>120,d1,1,0,provisorisch
2026-01-01T00:00+0100,Zch_Schimmelstrasse,PM10,d1,µg/m3,65.77,provisorisch
2026-01-01T00:00+0100,Zch_Schimmelstrasse,PM2.5,d1,µg/m3,57.01,provisorisch
2026-01-01T00:00+0100,Zch_Schimmelstrasse,PN,d1,1/cm3,18792.78,provisorisch
2026-01-01T00:00+0100,Zch_Stampfenbachstrasse,NO,d1,µg/m3,13.54,provisorisch
2026-01-01T00:00+0100,Zch_Stampfenbachstrasse,NO2,d1,µg/m3,29.25,provisorisch
2026-01-01T00:00+0100,Zch_Stampfenbachstrasse,NOx,d1,ppb,26.15,provisorisch
2026-01-01T00:00+0100,Zch_Stampfenbachstrasse,O3,d1,µg/m3,24.04,provisorisch
2026-01-01T00:00+0100,Zch_Stampfenbachstrasse,O3_max_h1,d1,µg/m3,52.25,provisorisch
2026-01-01T00:00+0100,Zch_Stampfenbachstrasse,O3_nb_h1>120,d1,1,0,provisorisch
2026-01-01T00:00+0100,Zch_Stampfenbachstrasse,PM10,d1,µg/m3,64.59,provisorisch
2026-01-01T00:00+0100,Zch_Stampfenbachstrasse,PM2.5,d1,µg/m3,52.86,provisorisch
2026-01-02T00:00+0100,Zch_Heubeeribüel,NO,d1,µg/m3,1.21,provisorisch
2026-01-02T00:00+0100,Zch_Heubeeribüel,NO2,d1,µg/m3,7.89,provisorisch
2026-01-02T00:00+0100,Zch_Heubeeribüel,NOx,d1,ppb,5.09,provisorisch
2026-01-02T00:00+0100,Zch_Heubeeribüel,O3,d1,µg/m3,65.42,provisorisch
2026-01-02T00:00+0100,Zch_Heubeeribüel,O3_max_h1,d1,µg/m3,75.43,provisorisch
2026-01-02T00:00+0100,Zch_Heubeeribüel,O3_nb_h1>120,d1,1,0,provisorisch
2026-01-02T00:00+0100,Zch_Heubeeribüel,PM10,d1,µg/m3,5.82,provisorisch
2026-01-02T00:00+0100,Zch_Heubeeribüel,PM2.5,d1,µg/m3,4.45,provisorisch
2026-01-02T00:00+0100,Zch_Rosengartenstrasse,NO,d1,µg/m3,8.75,provisorisch
2026-01-02T00:00+0100,Zch_Rosengartenstrasse,NO2,d1,µg/m3,28.49,provisorisch
2026-01-02T00:00+0100,Zch_Rosengartenstrasse,NOx,d1,ppb,21.91,provisorisch
2026-01-02T00:00+0100,Zch_Rosengartenstrasse,O3,d1,µg/m3,43.84,provisorisch
2026-01-02T00:00+0100,Zch_Rosengartenstrasse,O3_max_h1,d1,µg/m3,69.68,provisorisch
2026-01-02T00:00+0100,Zch_Rosengartenstrasse,O3_nb_h1>120,d1,1,0,provisorisch
2026-01-02T00:00+0100,Zch_Rosengartenstrasse,PM10,d1,µg/m3,8.48,provisorisch
2026-01-02T00:00+0100,Zch_Rosengartenstrasse,PM2.5,d1,µg/m3,5.93,provisorisch
2026-01-02T00:00+0100,Zch_Rosengartenstrasse,PNc,d1,1/cm3,12080.93,provisorisch
2026-01-02T00:00+0100,Zch_Schimmelstrasse,NO,d1,µg/m3,4.53,provisorisch
2026-01-02T00:00+0100,Zch_Schimmelstrasse,NO2,d1,µg/m3,19.37,provisorisch
2026-01-02T00:00+0100,Zch_Schimmelstrasse,NOx,d1,ppb,13.76,provisorisch
2026-01-02T00:00+0100,Zch_Schimmelstrasse,O3,d1,µg/m3,51.56,provisorisch
2026-01-02T00:00+0100,Zch_Schimmelstrasse,O3_max_h1,d1,µg/m3,69.67,provisorisch
2026-01-02T00:00+0100,Zch_Schimmelstrasse,O3_nb_h1>120,d1,1,0,provisorisch
2026-01-02T00:00+0100,Zch_Schimmelstrasse,PM10,d1,µg/m3,7.96,provisorisch
2026-01-02T00:00+0100,Zch_Schimmelstrasse,PM2.5,d1,µg/m3,5.47,provisorisch
2026-01-02T00:00+0100,Zch_Schimmelstrasse,PN,d1,1/cm3,6580.62,provisorisch
2026-01-02T00:00+0100,Zch_Stampfenbachstrasse,NO,d1,µg/m3,1.75,provisorisch
2026-01-02T00:00+0100,Zch_Stampfenbachstrasse,NO2,d1,µg/m3,13.77,provisorisch
2026-01-02T00:00+0100,Zch_Stampfenbachstrasse,NOx,d1,ppb,8.6,provisorisch
2026-01-02T00:00+0100,Zch_Stampfenbachstrasse,O3,d1,µg/m3,56.22,provisorisch
2026-01-02T00:00+0100,Zch_Stampfenbachstrasse,O3_max_h1,d1,µg/m3,71.83,provisorisch
2026-01-02T00:00+0100,Zch_Stampfenbachstrasse,O3_nb_h1>120,d1,1,0,provisorisch
2026-01-02T00:00+0100,Zch_Stampfenbachstrasse,PM10,d1,µg/m3,8.26,provisorisch
2026-01-02T00:00+0100,Zch_Stampfenbachstrasse,PM2.5,d1,µg/m3,5.61,provisorisch
2026-01-03T00:00+0100,Zch_Heubeeribüel,NO,d1,µg/m3,1.58,provisorisch
2026-01-03T00:00+0100,Zch_Heubeeribüel,NO2,d1,µg/m3,8.94,provisorisch
2026-01-03T00:00+0100,Zch_Heubeeribüel,NOx,d1,ppb,5.94,provisorisch
2026-01-03T00:00+0100,Zch_Heubeeribüel,O3,d1,µg/m3,61.43,provisorisch
2026-01-03T00:00+0100,Zch_Heubeeribüel,O3_max_h1,d1,µg/m3,71.24,provisorisch
2026-01-03T00:00+0100,Zch_Heubeeribüel,O3_nb_h1>120,d1,1,0,provisorisch
2026-01-03T00:00+0100,Zch_Heubeeribüel,PM10,d1,µg/m3,5.11,provisorisch
2026-01-03T00:00+0100,Zch_Heubeeribüel,PM2.5,d1,µg/m3,3.93,provisorisch
2026-01-03T00:00+0100,Zch_Rosengartenstrasse,NO,d1,µg/m3,9.07,provisorisch
2026-01-03T00:00+0100,Zch_Rosengartenstrasse,NO2,d1,µg/m3,26.01,provisorisch
2026-01-03T00:00+0100,Zch_Rosengartenstrasse,NOx,d1,ppb,20.87,provisorisch
2026-01-03T00:00+0100,Zch_Rosengartenstrasse,O3,d1,µg/m3,47.01,provisorisch
2026-01-03T00:00+0100,Zch_Rosengartenstrasse,O3_max_h1,d1,µg/m3,59.84,provisorisch
2026-01-03T00:00+0100,Zch_Rosengartenstrasse,O3_nb_h1>120,d1,1,0,provisorisch
2026-01-03T00:00+0100,Zch_Rosengartenstrasse,PM10,d1,µg/m3,8.5,provisorisch
2026-01-03T00:00+0100,Zch_Rosengartenstrasse,PM2.5,d1,µg/m3,5.05,provisorisch
2026-01-03T00:00+0100,Zch_Rosengartenstrasse,PNc,d1,1/cm3,12712.83,provisorisch
2026-01-03T00:00+0100,Zch_Schimmelstrasse,NO,d1,µg/m3,9.69,provisorisch
2026-01-03T00:00+0100,Zch_Schimmelstrasse,NO2,d1,µg/m3,26.83,provisorisch
2026-01-03T00:00+0100,Zch_Schimmelstrasse,NOx,d1,ppb,21.8,provisorisch
2026-01-03T00:00+0100,Zch_Schimmelstrasse,O3,d1,µg/m3,45.18,provisorisch
2026-01-03T00:00+0100,Zch_Schimmelstrasse,O3_max_h1,d1,µg/m3,61.75,provisorisch
2026-01-03T00:00+0100,Zch_Schimmelstrasse,O3_nb_h1>120,d1,1,0,provisorisch
2026-01-03T00:00+0100,Zch_Schimmelstrasse,PM10,d1,µg/m3,8.07,provisorisch
2026-01-03T00:00+0100,Zch_Schimmelstrasse,PM2.5,d1,µg/m3,5.22,provisorisch
2026-01-03T00:00+0100,Zch_Schimmelstrasse,PN,d1,1/cm3,11325.09,provisorisch
2026-01-03T00:00+0100,Zch_Stampfenbachstrasse,NO,d1,µg/m3,2.42,provisorisch
2026-01-03T00:00+0100,Zch_Stampfenbachstrasse,NO2,d1,µg/m3,13.82,provisorisch
2026-01-03T00:00+0100,Zch_Stampfenbachstrasse,NOx,d1,ppb,9.17,provisorisch
2026-01-03T00:00+0100,Zch_Stampfenbachstrasse,O3,d1,µg/m3,54.89,provisorisch
2026-01-03T00:00+0100,Zch_Stampfenbachstrasse,O3_max_h1,d1,µg/m3,66.64,provisorisch
2026-01-03T00:00+0100,Zch_Stampfenbachstrasse,O3_nb_h1>120,d1,1,0,provisorisch
2026-01-03T00:00+0100,Zch_Stampfenbachstrasse,PM10,d1,µg/m3,6.53,provisorisch
2026-01-03T00:00+0100,Zch_Stampfenbachstrasse,PM2.5,d1,µg/m3,4.89,provisorisch
2026-01-04T00:00+0100,Zch_Heubeeribüel,NO,d1,µg/m3,1.58,provisorisch
2026-01-04T00:00+0100,Zch_Heubeeribüel,NO2,d1,µg/m3,8.23,provisorisch
2026-01-04T00:00+0100,Zch_Heubeeribüel,NOx,d1,ppb,5.57,provisorisch
2026-01-04T00:00+0100,Zch_Heubeeribüel,O3,d1,µg/m3,66.12,provisorisch
2026-01-04T00:00+0100,Zch_Heubeeribüel,O3_max_h1,d1,µg/m3,76.18,provisorisch
2026-01-04T00:00+0100,Zch_Heubeeribüel,O3_nb_h1>120,d1,1,0,provisorisch
2026-01-04T00:00+0100,Zch_Heubeeribüel,PM10,d1,µg/m3,6.8,provisorisch
2026-01-04T00:00+0100,Zch_Heubeeribüel,PM2.5,d1,µg/m3,5.13,provisorisch
2026-01-04T00:00+0100,Zch_Rosengartenstrasse,NO,d1,µg/m3,13.85,provisorisch
2026-01-04T00:00+0100,Zch_Rosengartenstrasse,NO2,d1,µg/m3,43.88,provisorisch
2026-01-04T00:00+0100,Zch_Rosengartenstrasse,NOx,d1,ppb,34.05,provisorisch
2026-01-04T00:00+0100,Zch_Rosengartenstrasse,O3,d1,µg/m3,28.3,provisorisch
2026-01-04T00:00+0100,Zch_Rosengartenstrasse,O3_max_h1,d1,µg/m3,66.72,provisorisch
2026-01-04T00:00+0100,Zch_Rosengartenstrasse,O3_nb_h1>120,d1,1,0,provisorisch
2026-01-04T00:00+0100,Zch_Rosengartenstrasse,PM10,d1,µg/m3,15.41,provisorisch
2026-01-04T00:00+0100,Zch_Rosengartenstrasse,PM2.5,d1,µg/m3,7.94,provisorisch
2026-01-04T00:00+0100,Zch_Rosengartenstrasse,PNc,d1,1/cm3,19989.59,provisorisch
2026-01-04T00:00+0100,Zch_Schimmelstrasse,NO,d1,µg/m3,16.37,provisorisch
2026-01-04T00:00+0100,Zch_Schimmelstrasse,NO2,d1,µg/m3,46.4,provisorisch
2026-01-04T00:00+0100,Zch_Schimmelstrasse,NOx,d1,ppb,37.39,provisorisch
2026-01-04T00:00+0100,Zch_Schimmelstrasse,O3,d1,µg/m3,25.98,provisorisch
2026-01-04T00:00+0100,Zch_Schimmelstrasse,O3_max_h1,d1,µg/m3,62.53,provisorisch
2026-01-04T00:00+0100,Zch_Schimmelstrasse,O3_nb_h1>120,d1,1,0,provisorisch
2026-01-04T00:00+0100,Zch_Schimmelstrasse,PM10,d1,µg/m3,13.95,provisorisch
2026-01-04T00:00+0100,Zch_Schimmelstrasse,PM2.5,d1,µg/m3,7.8,provisorisch
2026-01-04T00:00+0100,Zch_Schimmelstrasse,PN,d1,1/cm3,17074.36,provisorisch
2026-01-04T00:00+0100,Zch_Stampfenbachstrasse,NO,d1,µg/m3,5.85,provisorisch
2026-01-04T00:00+0100,Zch_Stampfenbachstrasse,NO2,d1,µg/m3,35,provisorisch
2026-01-04T00:00+0100,Zch_Stampfenbachstrasse,NOx,d1,ppb,22.99,provisorisch
2026-01-04T00:00+0100,Zch_Stampfenbachstrasse,O3,d1,µg/m3,33.8,provisorisch
2026-01-04T00:00+0100,Zch_Stampfenbachstrasse,O3_max_h1,d1,µg/m3,63.12,provisorisch
2026-01-04T00:00+0100,Zch_Stampfenbachstrasse,O3_nb_h1>120,d1,1,0,provisorisch
2026-01-04T00:00+0100,Zch_Stampfenbachstrasse,PM10,d1,µg/m3,12.99,provisorisch
